airport_id,airport_name,city,country,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_altitude,airport_timezone,
7180,Kobuk Airport,Kobuk,United States,OBU,PAOB,66.91230011,-156.8970032,137,-9,A
7181,Robert (Bob) Curtis Memorial Airport,Noorvik,United States,ORV,PFNO,66.81790161,-161.0189972,55,-9,A
7182,Selawik Airport,Selawik,United States,WLK,PASK,66.60009766,-159.9859924,17,-9,A
7183,Brevig Mission Airport,Brevig Mission,United States,KTS,PFKT,65.33129883,-166.4660034,38,-9,A
7184,Elim Airport,Elim,United States,ELI,PFEL,64.61470032,-162.2720032,162,-9,A
7185,Golovin Airport,Golovin,United States,GLV,PAGL,64.55049896,-163.0070038,59,-9,A
7186,Teller Airport,Teller,United States,TLA,PATE,65.24040222,-166.3390045,294,-9,A
7187,Wales Airport,Wales,United States,WAA,PAIW,65.622593,-168.095,22,-9,A
7188,White Mountain Airport,White Mountain,United States,WMO,PAWM,64.68920136,-163.4129944,267,-9,A
7190,Koyuk Alfred Adams Airport,Koyuk,United States,KKA,PAKK,64.9394989,-161.154007,154,-9,A
7191,St Michael Airport,St. Michael,United States,SMK,PAMK,63.49010086,-162.1100006,98,-9,A
7192,Shaktoolik Airport,Shaktoolik,United States,SKK,PFSH,64.37110138,-161.223999,24,-9,A
7194,Tin City Long Range Radar Station Airport,Tin City,United States,TNC,PATC,65.56310272,-167.9219971,271,-9,A
7195,Atka Airport,Atka,United States,AKB,PAAK,52.22029877,-174.2059937,57,-10,A
7198,Yakataga Airport,Yakataga,United States,CYT,PACY,60.08200073,-142.4929962,12,-9,A
7199,Alakanuk Airport,Alakanuk,United States,AUK,PAUK,62.68004227,-164.6599274,10,-9,A
7201,Kipnuk Airport,Kipnuk,United States,KPN,PAKI,59.93299866,-164.0310059,11,-9,A
7202,False Pass Airport,False Pass,United States,KFP,PAKF,54.84740067,-163.4100037,20,-9,A
7203,Nelson Lagoon Airport,Nelson Lagoon,United States,NLG,PAOU,56.00749969,-161.1600037,14,-9,A
7204,Port Moller Airport,Cold Bay,United States,PML,PAAL,56.00600052,-160.5610046,20,-9,A
7205,Klawock Airport,Klawock,United States,KLW,PAKW,55.57920074,-133.076004,80,-9,A
7206,Quinhagak Airport,Quinhagak,United States,KWN,PAQH,59.75510025,-161.8450012,42,-9,A
7207,Kotlik Airport,Kotlik,United States,KOT,PFKO,63.0306015,-163.5330048,15,-9,A
7208,Koyukuk Airport,Koyukuk,United States,KYU,PFKU,64.87609863,-157.727005,149,-9,A
7209,Scammon Bay Airport,Scammon Bay,United States,SCM,PACM,61.84529877,-165.5709991,14,-9,A
